kind,id,etag,email,name,directMembersCount,description,adminCreated,nonEditableAliases,aliases
admin#directory#group,00qsh70q4anfev0,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/C6GJywtUcnc_G5MV2upSFJGcTXs""",919mexico@919.jp,メキシコ,5,,True,"['919mexico@g.919.jp', '919mexico@g.919.co.jp', '919mexico@919.jp.test-google-a.com', '919mexico@kango-roo.com']",
admin#directory#group,02zbgiuw11afnf2,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/0pwETuN212PfwKtKfdVMu4eESgc""",919sh@919.jp,上海,9,,True,"['919sh@g.919.jp', '919sh@g.919.co.jp', '919sh@919.jp.test-google-a.com', '919sh@kango-roo.com']",
admin#directory#group,00upglbi1ruag0f,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/BlW121H4mHpUUkWtKE6CgI9_Mwc""",919usa@919.jp,USA,16,,True,"['919usa@919.jp.test-google-a.com', '919usa@g.919.jp', '919usa@g.919.co.jp', '919usa@kango-roo.com']",
admin#directory#group,02pta16n2zflyzk,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/jh8q6nTswqIbBA9xIm9Y5ODIWQc""",919vietnam@919.jp,ベトナム,3,,True,"['919vietnam@919.jp.test-google-a.com', '919vietnam@g.919.jp', '919vietnam@g.919.co.jp', '919vietnam@kango-roo.com']",
admin#directory#group,0111kx3o38rcr35,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/_UObF3ls45mJPPb8oLGWNVmaoMw""",abbvie-quick@919.jp,紹介部_abbvie-quick,2,アッヴィ社用受信グループ,True,"['abbvie-quick@g.919.jp', 'abbvie-quick@g.919.co.jp', 'abbvie-quick@919.jp.test-google-a.com', 'abbvie-quick@kango-roo.com']",
admin#directory#group,04h042r02kugv6k,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/ZbmMaE27964wlfwXL3qDlVPY_9M""",ad_higashiyama@919.jp,WEB事業企画開発室_ad_higashiyama,3,WEB事業企画開発室_2課_Facebook広告用アカウント,True,"['ad_higashiyama@919.jp.test-google-a.com', 'ad_higashiyama@g.919.co.jp', 'ad_higashiyama@g.919.jp', 'ad_higashiyama@kango-roo.com']",
admin#directory#group,0206ipza3u2a6yk,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/qpXkLHRf_Cwd1q6446n2EKCzMLY""",ad_ishikawa@919.jp,WEB事業企画開発室_ad_ishikawa,3,WEB事業企画開発室_2課_Facebook広告用アカウント,True,"['ad_ishikawa@g.919.jp', 'ad_ishikawa@919.jp.test-google-a.com', 'ad_ishikawa@g.919.co.jp', 'ad_ishikawa@kango-roo.com']",
admin#directory#group,030j0zll2i78ndt,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/GuYVgz-sXTLOn-hOM7HGR5faxh4""",ad_kizami@919.jp,WEB事業企画開発室_ad_kizami,3,WEB事業企画開発室_2課_Facebook広告用アカウント,True,"['ad_kizami@kango-roo.com', 'ad_kizami@919.jp.test-google-a.com', 'ad_kizami@g.919.co.jp', 'ad_kizami@g.919.jp']",
admin#directory#group,035nkun24f5mzag,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/qGbRUN3hWF36ihXwPXSoQNNCZl8""",ad_master@919.jp,WEB事業企画開発室_ad_master,2,WEB事業企画開発室_2課_FBメアド作成用1/2,True,"['ad_master@g.919.jp', 'ad_master@919.jp.test-google-a.com', 'ad_master@g.919.co.jp', 'ad_master@kango-roo.com']",
admin#directory#group,04d34og81p444lf,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/F7RUjFf3yLoBuuTZfSNFZUinG6o""",ad_payment@919.jp,WEB事業企画開発室_ad_payment,3,WEB事業企画開発室_2課_FBメアド作成用2/2,True,"['ad_payment@g.919.jp', 'ad_payment@919.jp.test-google-a.com', 'ad_payment@g.919.co.jp', 'ad_payment@kango-roo.com']",
admin#directory#group,01ksv4uv2bygd3i,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/4pSRKMoVajx4nymfNqxgMF6vUSI""",ad_recruiting@919.jp,WEB事業企画開発室_ad_recruiting,3,WEB事業企画開発室_2課_新規広告のアカウント作成の為,True,"['ad_recruiting@g.919.jp', 'ad_recruiting@919.jp.test-google-a.com', 'ad_recruiting@g.919.co.jp', 'ad_recruiting@kango-roo.com']",
admin#directory#group,00sqyw641cibghu,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/mPqidho7wLHP6tUtg9ZVLbimdok""",ad_reserve@919.jp,WEB事業企画開発室_ad_reserve,3,WEB事業企画開発室_広告チーム利用,True,"['ad_reserve@919.jp.test-google-a.com', 'ad_reserve@g.919.co.jp', 'ad_reserve@g.919.jp', 'ad_reserve@kango-roo.com']",
admin#directory#group,02lwamvv4206ze8,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/scyVtUf6gMgw5qTzeU6_z7KPszk""",ad_sato@919.jp,WEB事業企画開発室_ad_sato,3,WEB事業企画開発室_2課_Facebook広告用アカウント,True,"['ad_sato@919.jp.test-google-a.com', 'ad_sato@g.919.co.jp', 'ad_sato@g.919.jp', 'ad_sato@kango-roo.com']",
admin#directory#group,01gf8i832nis1ry,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/ThXBWLhG0Kfgh2zpQMFj-VeKJFo""",af-info@919.jp,紹介部_af-info,7,,True,"['af-info@919.jp.test-google-a.com', 'af-info@g.919.jp', 'af-info@g.919.co.jp', 'af-info@kango-roo.com']",
admin#directory#group,01t3h5sf35iiaoq,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/wj5LOQr6vPU7n2J_TzStjF0I8IQ""",akinai@919.jp,商奉行利用者,7,,True,"['akinai@919.jp.test-google-a.com', 'akinai@g.919.jp', 'akinai@g.919.co.jp', 'akinai@kango-roo.com']",
admin#directory#group,04d34og83fci3gn,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/xXZ6SiKSkXPgh7MmFxrtJCgVxEc""",all919@919.jp,クイック全員,1,ドメイン内全ユーザのグループ,True,"['all919@919.jp.test-google-a.com', 'all919@g.919.jp', 'all919@g.919.co.jp', 'all919@kango-roo.com']",
admin#directory#group,02jxsxqh0xpf8ji,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/GtPTNIWcm2LJN7MPaveW39gmtz0""",answers_manager@919.jp,紹介部_answers_manager,7,,True,"['answers_manager@919.jp.test-google-a.com', 'answers_manager@g.919.jp', 'answers_manager@g.919.co.jp', 'answers_manager@kango-roo.com']",
admin#directory#group,043ky6rz2vebfz8,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/6qYalzTPomQv0J3U00JMLth6ZbU""",apple-vpp@919.jp,VPP管理用アカウント,1,,True,"['apple-vpp@g.919.co.jp', 'apple-vpp@919.jp.test-google-a.com', 'apple-vpp@g.919.jp', 'apple-vpp@kango-roo.com']",
admin#directory#group,01yyy98l0zhxgng,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/VhpVDNaOoeEJ_qiSQuoNJwRPfsk""",applicant@919.jp,紹介部_applicant,5,企業へ送付する「アプリカントリスト」の送付用アドレス,True,"['applicant@919.jp.test-google-a.com', 'applicant@g.919.co.jp', 'applicant@g.919.jp', 'applicant@kango-roo.com']",
admin#directory#group,040ew0vw34wsrgb,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/m2TELGzWUtAk7ijRXLib--GN3Yc""",aqua-saiyo@919.jp,アクオ様・アクオ西日本様_採用PJT,5,,True,"['aqua-saiyo@kango-roo.com', 'aqua-saiyo@g.919.jp', 'aqua-saiyo@g.919.co.jp', 'aqua-saiyo@919.jp.test-google-a.com']",
admin#directory#group,04du1wux3e54s00,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/h8mdQ2dbqtvVpu55jpFQPK_jFyA""",area-o-1@919.jp,AS大阪_1課,3,,True,"['area-o-1@919.jp.test-google-a.com', 'area-o-1@g.919.jp', 'area-o-1@g.919.co.jp', 'area-o-1@kango-roo.com']",
admin#directory#group,03s49zyc48xdgc0,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/RLyL8gXH1lfGfQ8XFLW0kks3kvA""",area-o-2@919.jp,AS大阪_2課,2,,True,"['area-o-2@919.jp.test-google-a.com', 'area-o-2@g.919.jp', 'area-o-2@g.919.co.jp', 'area-o-2@kango-roo.com']",
admin#directory#group,00meukdy179wb8x,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/pG8xlDEq6tI5fopRbyQ67t8BBPg""",area-o-3@919.jp,AS大阪_3課,2,,True,"['area-o-3@g.919.jp', 'area-o-3@g.919.co.jp', 'area-o-3@919.jp.test-google-a.com', 'area-o-3@kango-roo.com']",
admin#directory#group,00haapch2uv03d9,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/GSsgC08fEMl8dX62GU1T8nMnmI0""",area-o-4@919.jp,AS大阪_4課,3,,True,"['area-o-4@g.919.jp', 'area-o-4@g.919.co.jp', 'area-o-4@919.jp.test-google-a.com', 'area-o-4@kango-roo.com']",
admin#directory#group,01d96cc02wtjogo,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/i7swsNPnkyMAor1cg3dY8KMH94o""",area-o-5@919.jp,AS大阪_5課,2,,True,"['area-o-5@kango-roo.com', 'area-o-5@919.jp.test-google-a.com', 'area-o-5@g.919.co.jp', 'area-o-5@g.919.jp']",
admin#directory#group,00kgcv8k1up6hk0,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/yaKrT3gMxYLApKv3zlTKkIDITAY""",area-o-baitai@919.jp,AS大阪_媒体,3,,True,"['area-o-baitai@kango-roo.com', 'area-o-baitai@919.jp.test-google-a.com', 'area-o-baitai@g.919.co.jp', 'area-o-baitai@g.919.jp']",
