kind,etags,resourceId,resourceName,generatedResourceName,resourceType,resourceDescription,resourceEmail,resourceCategory,userVisibleDescription,capacity
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/pViQ2H1QS6vwzv6Wo1wdzVVRRMk""",-10811274-531,(カメラ)-大阪-NIKON一眼レフカメラ,(カメラ)-大阪-NIKON一眼レフカメラ,IT機器-大阪,,919.jp_2d31303831313237342d353331@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/jrpk_jRce7-_cElMDdfCDloF69U""",-12097853577,(機器)-大阪-紹介部　プロジェクタ,(機器)-大阪-紹介部　プロジェクタ,IT機器-大阪,,919.jp_2d3132303937383533353737@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/d7fSuJQfVyp8K1R6Wv38aimc9d0""",-15277847932,(PC)-大阪-Rノートパソコン【小】,(PC)-大阪-Rノートパソコン【小】,IT機器-大阪,,919.jp_2d3135323737383437393332@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/zXXY60DaZlJE_UkuaQ5xos8Z4y4""",-15492097126,大阪-紹介部 個室1,大阪-紹介部 個室1,会議室-大阪,,919.jp_2d3135343932303937313236@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/YbqI1OhElcIBEdmfgqwXW-9MUfs""",-15925579676,大阪-和室-6,大阪-和室-6,会議室-大阪,,919.jp_2d3135393235353739363736@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/guEHTvj6rzEwB-fN5IbYNS71WDo""",-21796250-577,(自転車)-名古屋-かご小,(自転車)-名古屋-かご小,自転車-名古屋R,,919.jp_2d32313739363235302d353737@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/h3Q6R-hnqkJESiDe-sofVSrL_14""",-24426273-455,(自転車)-大阪-ASピンク,(自転車)-大阪-ASピンク,自転車-大阪,,919.jp_2d32343432363237332d343535@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/hy3Zloj2fgWDvWn-HPGvQSvOTKM""",-2835798164,大阪-紹介部 小会議室-10,大阪-紹介部 小会議室-10,会議室-大阪,,919.jp_2d32383335373938313634@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/-v80yRPK1T4fq8c8VYZwFJXdg3w""",-28537914645,(カメラ)-名古屋-一眼レフカメラ,(カメラ)-名古屋-一眼レフカメラ,備品・部屋-名古屋R,,919.jp_2d3238353337393134363435@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/Y1Ep2hIbqHtFnzWHRomPUkZEdf0""",-33423667-428,(車)-大阪-ミラ,(車)-大阪-ミラ,車-大阪,,919.jp_2d33333432333636372d343238@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/YSO6w8_-T5WnUqz3-zhDzd3WhKM""",-3378141745,(自転車)-名古屋-橙色（土橋）,(自転車)-名古屋-橙色（土橋）,自転車-名古屋R,,919.jp_2d33333738313431373435@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/tcg9K6HhzZV43CGoKfdOxXBcWW0""",-34252558-695,(車)-名古屋-銀ビッツ新（6189）,(車)-名古屋-銀ビッツ新（6189）,車-名古屋R,,919.jp_2d33343235323535382d363935@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/z6UPGDbunL0B8DFQH6_M9kyTV7s""",-34573147-558,(自転車)-大阪-ASホワイト（野田阪神）,(自転車)-大阪-ASホワイト（野田阪神）,自転車-大阪,,919.jp_2d33343537333134372d353538@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/pHkkJ-hOYy3zhep7K_bAXaMvo7U""",-3519772242,(機器)-大阪-ポータブルDVDプレーヤ,(機器)-大阪-ポータブルDVDプレーヤ,IT機器-大阪,,919.jp_2d33353139373732323432@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/tinfSHntubo3QEk9OrdN-3jl0Jw""",-36964272-329,(自転車)-大阪-ASブラック,(自転車)-大阪-ASブラック,自転車-大阪,,919.jp_2d33363936343237322d333239@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/G2CkFNdJEwT3XilxRlCJTuSZi_g""",-37923785732,大阪-監査法人室-10,大阪-監査法人室-10,会議室-大阪,,919.jp_2d3337393233373835373332@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/mlsa7Q7HsVADdnVP4T9MdN03tSs""",-38375194424,(カメラ)-東京-NIKON D5200,(カメラ)-東京-NIKON D5200,IT機器-東京,,919.jp_2d3338333735313934343234@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/agrwilQts1hBymRPhDYMjcVZ2qI""",-3888369-64,(機器)-東京-ノートPC銀（LET'S NOTE）,(機器)-東京-ノートPC銀（LET'S NOTE）,IT機器-東京,,919.jp_2d333838383336392d3634@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/H4p3f9AjCgtw5EtiLa1BiO6thOs""",-3986299411,(カメラ)-大阪-紹介部　カメラ（キヤノンEOS Kiss）,(カメラ)-大阪-紹介部　カメラ（キヤノンEOS Kiss）,IT機器-大阪,,919.jp_2d33393836323939343131@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/bpePGPYlmYmf8qFAzybdl1M5WO0""",-40325843151,東京-ATT-3-セミナールームD,東京-ATT-3-セミナールームD,会議室-ATT,,919.jp_2d3430333235383433313531@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/skVT9MeFNKUtaxGtICFaJNxspuU""",-423421-634,(カメラ)-東京-PENTAX　K-S1（カメラケース/CHUMS）,(カメラ)-東京-PENTAX　K-S1（カメラケース/CHUMS）,IT機器-東京,,919.jp_2d3432333432312d363334@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/4JoXU7_WvrfZaHtSZYGH1iU4daU""",-42471814-493,東京-ATT-3-応接室2-4,東京-ATT-3-応接室2-4,会議室-ATT,,919.jp_2d34323437313831342d343933@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/UWPVT3BCyi5OKJ2aVujsxwUh5Kk""",-44221366750,(機器)-東京-ビデオカメラ,(機器)-東京-ビデオカメラ,IT機器-東京,,919.jp_2d3434323231333636373530@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/LRLHPI0dNIC0TzHT_kIbKXCFVMI""",-46081634-243,大阪-プレゼンテーションルーム-12,大阪-プレゼンテーションルーム-12,会議室-大阪,,919.jp_2d34363038313633342d323433@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/q3Ry-117Mp2bS1YjRxs_rh0skQk""",-46347777751,大阪-紹介部 大会議室-18,大阪-紹介部 大会議室-18,会議室-大阪,,919.jp_2d3436333437373737373531@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/245WKehMsponLklMLXPfTZMPxKY""",-47257754641,(自転車)-名古屋-銀色Ｂ（伊藤）,(自転車)-名古屋-銀色Ｂ（伊藤）,自転車-名古屋R,,919.jp_2d3437323537373534363431@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/-O9cjqvnf39sdGzOTFqpI9osMF0""",-4745004-801,(カメラ)-大阪-AS梅田一眼レフ,(カメラ)-大阪-AS梅田一眼レフ,IT機器-大阪,,919.jp_2d343734353030342d383031@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/Q-GZ4bdbk0jzifTnUcpaEOA36YE""",-5271842028,(自転車)-大阪-Rグリーン,(自転車)-大阪-Rグリーン,自転車-大阪,,919.jp_2d35323731383432303238@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/Q2P5wjG46ZHkk4mgSFPdxJZPu3A""",-52841131-928,(車)-名古屋-カーシェア1,(車)-名古屋-カーシェア1,車-名古屋R,,919.jp_2d35323834313133312d393238@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/xrdavWk-rhEFzKhJhjxl4_dRvNc""",-53920336-327,(自転車)-名古屋-青色（山崎）,(自転車)-名古屋-青色（山崎）,自転車-名古屋R,,919.jp_2d35333932303333362d333237@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/nZ26ShbYLry88E3hQqU9x0Qbhi4""",-55939428790,(ライセンス)-東京-①ゴーリスアカウント,(ライセンス)-東京-①ゴーリスアカウント,ライセンス,,919.jp_2d3535393339343238373930@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/u3dYGEJ3KRzRlXq_Uw0tlHVuu_0""",-58939341557,(自転車)-名古屋-銀色Ａ（今戸）,(自転車)-名古屋-銀色Ａ（今戸）,自転車-名古屋R,,919.jp_2d3538393339333431353537@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/Cw7pr7aP2euIYOrKtgmUJoBENX4""",-60216537-150,(ツール)-大阪-言霊,(ツール)-大阪-言霊,営業ツール-大阪,,919.jp_2d36303231363533372d313530@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/JFZ9HhzJBXocGVVaXDzs_1jjYkA""",-60448223-456,(機器)-大阪-紹介部　ビデオカメラセット(ビデオカメラと三脚)),(機器)-大阪-紹介部　ビデオカメラセット(ビデオカメラと三脚)),IT機器-大阪,,919.jp_2d36303434383232332d343536@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/7-D-EQ-njadWonXu4kXHy8G4deE""",-60861216705,大阪-紹介部 個室3,大阪-紹介部 個室3,会議室-大阪,,919.jp_2d3630383631323136373035@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/AzIB9lld-kzsBn0OPfyabs6NDAg""",-60940379836,大阪-紹介部 個室2,大阪-紹介部 個室2,会議室-大阪,,919.jp_2d3630393430333739383336@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/jXxmv8ib4HRsBokwr9kbDieAX0o""",-6164620-527,(カメラ)-大阪-紹介部　デジタルカメラ,(カメラ)-大阪-紹介部　デジタルカメラ,IT機器-大阪,,919.jp_2d363136343632302d353237@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/xwmuidSlsFMDhwR2bn5T9OxH1a0""",-63920855948,東京-ATT-3-面談室7-4,東京-ATT-3-面談室7-4,会議室-ATT,,919.jp_2d3633393230383535393438@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/PDGm0wVufuAqlRT1VzoAhh7KiSo""",-648677662,(ライセンス)-東京-②ゴーリスアカウント,(ライセンス)-東京-②ゴーリスアカウント,ライセンス,,919.jp_2d363438363737363632@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/SHLd0uejX-TV563C1F3DBGbfU0c""",-67883561819,(機器)-東京-ノートPC銀（DELL Vostro3550）,(機器)-東京-ノートPC銀（DELL Vostro3550）,IT機器-東京,,919.jp_2d3637383833353631383139@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/LO7FTzRdfiV_CenutBszUqb9fYI""",-691622-269,大阪-リクルーティング会議室,大阪-リクルーティング会議室,会議室-大阪,,919.jp_2d3639313632322d323639@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/zR3eyXSUK0eMgKebJKYOpuv8HQg""",-7142397653,大阪-男性休憩室-1,大阪-男性休憩室-1,会議室-大阪,鍵は総務部まで,919.jp_2d37313432333937363533@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/nU-QKfDQaxuU0igxFBY_hPoAB3o""",-71649929470,(機器)-大阪-Rプロジェクタ【EPSON】,(機器)-大阪-Rプロジェクタ【EPSON】,IT機器-大阪,,919.jp_2d3731363439393239343730@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/0zGR9xS-jdZam1UE0Pg-DyIsVAI""",-7182246048,大阪-女性休憩室-1,大阪-女性休憩室-1,会議室-大阪,鍵は総務部まで,919.jp_2d37313832323436303438@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/QMzYFiwgddlzkc1ZEKIEJz02b5A""",-7646869-714,(PC)-大阪-紹介部　ノートパソコン　M事業,(PC)-大阪-紹介部　ノートパソコン　M事業,IT機器-大阪,,919.jp_2d373634363836392d373134@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/DsicYY4DMyhulWCbgm6JjNB-9oA""",-77552565908,東京-ATT-9-MTGルーム-14,東京-ATT-9-MTGルーム-14,会議室-ATT,,919.jp_2d3737353532353635393038@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/i7Koy6WPzGcatC_IwWKPq4pm3pk""",-80163836298,(自転車)-大阪-ASイエロー,(自転車)-大阪-ASイエロー,自転車-大阪,,919.jp_2d3830313633383336323938@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/4vROvex7r2q9GyBHWGbpZazZn7U""",-84795790885,平村保養所 (要総務部申請),平村保養所 (要総務部申請),福利厚生保養所,,919.jp_2d3834373935373930383835@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/gssXeewRI-dkOiCwKYzbaz0IzSg""",-85897816847,東京-ATT-9-打合せテーブル④-4,東京-ATT-9-打合せテーブル④-4,会議室-ATT,,919.jp_2d3835383937383136383437@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/EIo7QyhA9ZYrAvgZY9Q-4lqgkBU""",-85968360-193,東京-ATT-9-打合せテーブル③-4,東京-ATT-9-打合せテーブル③-4,会議室-ATT,,919.jp_2d38353936383336302d313933@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/ZD0OxgZfgDIzafAkW1SPOcgSSrI""",-86032728-307,東京-ATT-9-打合せテーブル②-4,東京-ATT-9-打合せテーブル②-4,会議室-ATT,,919.jp_2d38363033323732382d333037@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/HcGe2_WVRLprbb968RqFevrWl_4""",-8617300681,東京-ATT-9-打合せテーブル①-4,東京-ATT-9-打合せテーブル①-4,会議室-ATT,,919.jp_2d38363137333030363831@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/wg_uA8Dpq21Dld0a6fiwvkrs6h0""",-88470822739,(機器)-大阪-紹介部　iPad【大阪用】0055,(機器)-大阪-紹介部　iPad【大阪用】0055,IT機器-大阪,,919.jp_2d3838343730383232373339@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/eBtgW7QrRrV0XmCmnt7dfO5jYnQ""",-89162999-284,(機器)-東京-スピーカ,(機器)-東京-スピーカ,IT機器-東京,,919.jp_2d38393136323939392d323834@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/Kqkh7aT8lxDzZdgRLBvHGeme674""",-912084681,(機器)-東京-カードリーダー,(機器)-東京-カードリーダー,IT機器-東京,,919.jp_2d393132303834363831@resource.calendar.google.com,CATEGORY_UNKNOWN,,
admin#directory#resources#calendars#CalendarResource,"""BHP2ZsIq1HPrqEG_xY7Tkngn4lU/UIXfXmMiTQ5UBcZogsYxciRP9Yc""",-94424603-617,(機器)-東京-ホワイトボード,(機器)-東京-ホワイトボード,IT機器-東京,,919.jp_2d39343432343630332d363137@resource.calendar.google.com,CATEGORY_UNKNOWN,,
